country,totaled costs
Bahamas,107959.15
Slovenia,71822.67
Bosnia And Herzegovina,51008.97
South Africa,52991.03
Maldives,95987.5
Suriname,41073.32
Botswana,82286.27
Gibraltar,105925.84
Papua New Guinea,114393.56
Guyana,41564.4
Montenegro,53596.86
Bahrain,64430.96
Switzerland,148905.72
Luxembourg,108771.54
Iceland,100044.01
Fiji,53355.62
New Caledonia,77369.31
Turkey,74438.7
Bhutan,44453.23
Swaziland,47062.26
Bermuda,140842.1
Brunei,64090.63
Isle Of Man,86267.68
Trinidad And Tobago,76760.32
Jersey,108904.26
Turkmenistan,89341.51
Seychelles,75217.1
Malta,74158.05
Liechtenstein,105234.21
Kosovo (Disputed Territory),44048.83
Brazil,46388.04
Italy,69672.11
Ukraine,50305.93
India,37692.14
United States,63745.16
Mexico,41832.78
Morocco,48674.12
Japan,78056.06
Philippines,44449.37
Mexico,46219.67
Iran,182687.77
Morocco,55491.55
India,37692.5
Mexico,47947.19
United States,90407.24
United States,77542.23
Mexico,40029.57
Brazil,44565.26
Mexico,40902.9
Saudi Arabia,57302.26
Russia,92012.69
Mexico,45189.21
Italy,77389.18
Malaysia,79103.19
India,38592.95
Mexico,48245.17
France,66050.53
Indonesia,39026.91
Malaysia,66289.56
Mexico,45139.5
Russia,109036.63
United States,78572.63
Indonesia,70364.29
Nigeria,37811.43
Iraq,49208.34
United States,101463.91
India,46797.09
Mexico,47618.55
Brazil,53115.07
Mexico,42569.5
United Kingdom,82891.19
Spain,61918.74
Brazil,50336.63
Germany,92311.08
Mexico,45384.06
United States,76846.41
Pakistan,37167.54
India,51762.03
Ukraine,46559.08
Russia,118338.03
Ukraine,48992.4
United States,108757.7
Canada,90859.53
Philippines,44821.62
United States,78296.9
Mexico,41022.74
United States,77478.71
Brazil,57302.74
India,36426.57
Philippines,53272.68
India,63608.55
Syria,62588.96
Philippines,46128.07
Canada,70653.68
Poland,49786.73
Spain,72269.24
Russia,57537.26
Brazil,62874.14
India,40109.31
Japan,72312.0
Iraq,27334.76
Italy,63973.93
United States,78053.91
Mexico,38549.78
Mexico,44727.61
Mexico,35045.13
Saudi Arabia,40627.99
United States,71036.98
India,53258.98
Pakistan,28709.06
Germany,93432.43
Russia,87239.29
Lebanon,50991.49
Poland,61483.19
Malaysia,77503.18
Bolivia,43278.97
Netherlands,83185.25
Germany,86679.11
Australia,88755.3
United States,76617.38
Brazil,61526.28
Philippines,88392.24
Russia,75489.51
India,33170.65
United Kingdom,92570.82
United States,64345.17
Russia,75337.94
India,47350.32
Russia,81517.72
Russia,107236.87
Russia,99687.04
Malaysia,71311.11
China,74819.53
United States,76764.64
Sweden,70603.11
India,29444.49
Germany,70210.45
South Africa,50675.13
Canada,72884.65
Colombia,31637.57
Argentina,53434.35
United States,71303.31
Colombia,37054.06
Mexico,41644.69
Italy,79376.73
Spain,71870.62
United Kingdom,94181.5
Germany,80351.56
Jordan,61322.51
United States,66467.32
Mexico,46391.21
Germany,73939.63
India,31238.51
United Kingdom,90265.9
India,26625.68
Mexico,55336.75
Philippines,77382.08
Uzbekistan,42308.04
Germany,77404.55
Colombia,52853.42
Poland,55615.58
Belgium,83899.18
Russia,119987.49
France,82790.47
Iran,118851.46
Russia,93335.1
India,64328.08
United Kingdom,88528.78
Egypt,42950.03
Iran,92236.63
United States,80575.78
United Kingdom,82813.2
Morocco,42296.82
Germany,82241.23
Canada,65437.23
Japan,133600.87
Egypt,38369.25
Colombia,39681.69
Brazil,54886.97
Philippines,51428.04
India,55561.4
Russia,93247.54
Morocco,50780.67
Ukraine,35067.81
Malaysia,68299.89
Mexico,43771.61
Germany,66920.15
Malaysia,57316.36
France,75222.74
United Arab Emirates,58864.95
United Kingdom,83913.49
United States,69305.23
Russia,70375.98
United States,80788.05
Brazil,59068.16
Russia,84657.55
Bangladesh,65332.14
Philippines,86920.94
Philippines,69137.64
Poland,59293.85
Spain,62372.61
Japan,56995.64
United States,101454.67
United States,82546.65
Israel,145035.07
India,37834.9
Malaysia,69896.51
United States,73318.86
Mexico,46992.15
Taiwan,89857.37
Algeria,56455.96
Switzerland,150039.55
United States,76951.16
Brazil,64870.51
Indonesia,59149.52
Japan,65043.52
United States,107257.96
Russia,70882.69
Peru,53680.39
Mexico,46561.81
Morocco,43826.65
Canada,52597.14
Russia,81814.81
Malaysia,69653.74
Russia,83604.1
United States,84008.15
Indonesia,64436.87
United States,89176.35
Russia,108591.97
Poland,53043.07
Egypt,47061.25
Venezuela,63518.48
Iran,146545.98
Brazil,55991.35
Brazil,56886.92
Vietnam,80170.36
Italy,82808.17
United States,97094.65
Italy,83888.72
New Zealand,70497.57
Morocco,53377.22
Czech Republic,73000.29
Canada,80795.28
Serbia,56346.96
New Zealand,61909.8
Ukraine,51603.91
Philippines,72234.67
Taiwan,90089.69
Bulgaria,52563.67
United Kingdom,75778.6
Nepal,84757.77
Brazil,54592.3
Belarus,55307.57
Spain,67502.97
Turkey,72542.14
Turkey,56291.63
United States,89428.44
Bulgaria,52254.15
Poland,55159.76
United States,112270.37
Netherlands,90364.64
France,89902.18
Azerbaijan,45235.77
Poland,52061.25
Belarus,52607.36
South Africa,47053.39
Spain,65169.83
Mexico,52914.7
United Kingdom,73092.56
Germany,85706.47
Ecuador,71723.21
Germany,87697.73
Chile,37796.63
Mexico,24780.06
Algeria,46217.8
