country,total fertility rate,total life expectancy,net primary school enrollment,poverty ratio
Mauritania,4.342,64.691,,
Mauritius,1.32,73.5146341463,,
Malawi,3.849,62.898,,
Malaysia,1.787,76.26,,
,1.6299061119,77.8387652653,,
Namibia,3.248,58.059,,
New Caledonia,2.02,80.9820731707,,
Niger,6.749,62.08,,
Nigeria,5.143,53.633,,
Nicaragua,2.284,74.615,,
Netherlands,1.487,81.7146341463,,
Norway,1.41,82.5609756098,,
Nepal,2.008,70.484,,20.3
Nauru,3.463,64.014,,
New Zealand,1.66,82.7609756098,,
,1.5587861628,79.6281298121,,
Oman,2.567,73.935,,
,2.0826833904,72.8992435957,,
Pakistan,3.41,66.431,,
Panama,2.297,76.826,,
Peru,2.164,73.385,,27.5
Philippines,2.725,72.187,,
Palau,,,,
Papua New Guinea,3.165,65.958,,
Poland,1.261,77.3048780488,,11.8
,4.7738157374,60.4703344281,,
Puerto Rico,0.9,79.72,,
N. Korea,1.793,73.578,,
Portugal,1.43,81.5804878049,,
Paraguay,2.444,70.475,,24.7
"Palestine, State of",3.436,73.444,,
,3.2217329225,69.755971394,,
,1.4613826345,80.1357442643,,
French Polynesia,1.688,83.55,,
Qatar,1.781,81.559,,
Romania,1.81,75.3048780488,,
Russian Federation,1.416,72.5456097561,,
Rwanda,3.749,67.129,,
,2.2157790006,68.1474413138,,
Saudi Arabia,2.393,77.905,,
Sudan,4.384,65.578,,
Senegal,4.314,67.913,,
Singapore,1.04,82.8951219512,,
Solomon Islands,3.925,70.742,,
Sierra Leone,3.876,60.411,,
El Salvador,1.785,71.475,,26.6
San Marino,,,,
Somalia,6.202,56.107,,54.4
Serbia,1.63,75.482195122,,
,4.528300927,60.7428523817,,
South Sudan,4.337,55.567,,
,4.5281005471,60.7441305313,,
,2.2166554782,72.1830686819,,
Sao Tome and Principe,3.751,68.794,,
Suriname,2.322,70.289,,
Slovakia,1.57,77.0658536585,,
Slovenia,1.55,81.2829268293,,12.7
Sweden,1.52,83.1097560976,,16.1
Eswatini,2.785,56.36,,
Sint Maarten (Dutch part),1.572,74.409,,
Seychelles,2.32,73.8487804878,,
Syrian Arab Republic,2.704,72.3,,
Turks and Caicos Islands,1.658,74.925,,
Chad,6.215,52.997,,
,1.525642105,76.199985581,,
,1.8269208967,73.9137208376,,
Togo,4.196,61.588,,
Thailand,1.317,79.68,,
Tajikistan,3.141,71.288,,22.5
Turkmenistan,2.617,69.41,,
,1.84783969,73.6413370777,,
Timor-Leste,3.047,69.056,,
,2.633217137,72.1958188106,,
Tonga,3.193,71.27,,
,2.2157790006,68.1474413138,,
,4.5281005471,60.7441305313,,
Trinidad and Tobago,1.614,74.708,,
Tunisia,2.064,74.263,,
Turkey,1.882,78.475,,
Tuvalu,3.144,64.854,,
"Tanzania, United Republic of",4.661,66.782,,
Uganda,4.468,63.638,,
Ukraine,1.265,68.5879268293,,
Uruguay,1.483,78.0,,9.9
United States of America,1.665,77.4341463415,,
Uzbekistan,3.308,71.674,,14.1
Saint Vincent and the Grenadines,1.778,68.972,,
Venezuela (Bolivarian Republic of),2.188,71.105,,
Virgin Islands (British),1.015,76.373,,
Virgin Islands (U.S.),2.0,80.3195121951,,
Viet Nam,1.941,74.58,,4.3
Vanuatu,3.697,70.492,,
,2.2682372859,71.9487167371,,
Samoa,3.875,72.598,,
,1.4959462043,79.5066307772,,
,1.51,79.524,,
,4.5506313036,63.0187828193,,
,2.658593258,67.1659174849,,
,1.5927420937,75.6652990948,,
Yemen,3.716,63.72,,
South Africa,2.341,61.48,,
Zambia,4.242,61.803,,60.0
Zimbabwe,3.437,59.391,,
